plate,hm_n,hm_in,hm_rmse_um,hm_pitch_um,hm_norm,hm_rot,tilt_pp_um,tilt_frac,rgb_n,rgb_in,rgb_rmse_px,rgb_pitch_px,rgb_norm,rgb_rot,cross_rmse_um,cross_max_um,cross_slots,um_per_px_x,um_per_px_y,px_aspect,rel_rot,old_hm_norm,old_hm_rmse,old_hm_in,old_rgb_norm,old_rgb_rmse,old_rgb_in
6-18-2025_P4,64,61,6.071678539024217,269.1290596266633,0.022560471721065234,1.69113382480016,21.182058687279447,0.6104292351702322,67,62,2.346344031659726,215.35032881976463,0.010895474571684894,0.5146178697809932,8.484313239357158,25.25836919808844,59,1.1041396938797752,1.4234601112814018,1.2892029144243373,1.3634623935880614,0.027831110767804215,1.3575238833073948,64,0.021552081945673107,4.638489137214335,62
6-18-2025_P6,57,56,15.35208849052192,269.4893395356313,0.056967331312532676,0.5373159450840381,23.08813733135028,0.6000055075950265,91,62,3.2537677764738477,215.5710073902851,0.015093716988495558,0.2976152715915361,15.62254352812558,81.14849437462816,55,1.0575787429079075,1.4965385790225116,1.415061137582668,0.7378162086047027,,,,0.028278758711191787,6.085688455853257,63
9-24-2025_P1,65,64,6.5487284608499845,268.7100005828879,0.02437098897191928,1.643714524888242,23.79642809179393,0.7449709162321205,118,60,2.0508560847817146,216.04827500537823,0.009492582547723009,0.14857988116492096,6.119771864735227,11.40066982222623,60,1.0780829358368602,1.4594933361936997,1.3537857688664465,1.5874545921035237,0.029306682821555706,1.4400622545136696,64,0.00941500913311916,2.037382569468738,64
9-24-2025_P10,63,61,8.164851797077725,264.79048882055497,0.030835140013699427,1.858833160677516,21.124445379965564,0.7606182506922551,79,61,4.277323868288763,216.6587939239191,0.019742212124520403,-0.6311381848436871,8.530251866557299,24.818057653903583,60,1.029768557514234,1.5069562975568922,1.463393193121516,3.0185609682793895,,,,0.023047370627518986,4.999993129819526,54
9-24-2025_P11,57,54,20.894643691911476,264.31449570946154,0.0790522049720617,4.381182604309465,27.18694809564805,0.6906690807439503,67,59,2.2919490567454623,216.0924629800964,0.010606335015750024,-0.3621105879726581,21.910793939314008,71.71046616118016,53,1.0262101614361558,1.509090275659734,1.4705470013547706,3.763901741156708,,,,0.012038606011841068,2.605930595672958,55
9-24-2025_P2,62,61,7.529016086573944,265.92911585986076,0.028312116415795487,1.60420807918402,20.989232412110894,0.7484427291303555,69,63,3.2417458644095642,215.5870113844984,0.01503683289448234,-0.15167857259448744,7.383952490548781,18.52985242792551,61,1.0848462785501258,1.438624203226217,1.3261088060779525,1.970890880867709,0.032227168053897894,1.561114065572827,59,0.01563454876006804,3.3776616058823947,62
9-24-2025_P4,61,58,8.660579682374985,268.2207987480798,0.03228899370517957,1.44272430765848,22.89429267054453,0.7055070811223177,77,61,2.5801430882274548,215.7544714606475,0.011958700418860425,-0.011302700501425797,8.922493327184005,24.817496669807824,56,1.0773627180350163,1.4742938195826718,1.3684284734407846,1.180865272587482,,,,0.013434853886509465,2.8991780549270576,63
9-24-2025_P5,64,64,8.28246063157911,266.60546423690164,0.031066357380505293,1.3840880868356695,22.268808202483054,0.768638514189364,67,64,3.326437289800733,216.2690403851106,0.015381014702230801,-0.3233934355794898,7.503574621088666,17.059427512749014,64,1.0914611911819632,1.4353169989918817,1.3150417170926167,1.7772481769955852,0.0342510126661885,1.711701294843708,62,0.022104420602721178,4.789102008401483,64
9-24-2025_P6,64,64,6.604807270811461,264.9193967782776,0.02493138422906537,0.7377658063059218,23.787955278382604,0.6451866662654792,77,62,2.177256053242611,215.56585869953255,0.010100189642170514,0.17171193919619054,7.907374722716803,18.32951640522188,62,1.0336236957115479,1.5153450451651025,1.4660509926893046,0.268580220131486,0.030227174914837864,1.51107564647671,64,0.010594201170254048,2.2896347161621886,63
9-24-2025_P9,62,58,7.148817175492649,266.9706292584878,0.026777541766854738,1.530736042901976,29.685571675582686,0.7593763328156456,75,58,2.5776369085261734,215.4223125856459,0.011965505697100792,-0.019101914375801037,8.099073585479081,18.051504286275854,55,1.0950832715208048,1.4291867679669743,1.3050941468425328,1.3773750202400514,,,,0.015488231316768198,3.339847367237721,59
9-25-2025_P1,66,64,7.553648405269226,266.9571442311973,0.02829535964292237,1.5449545140440248,17.10257345331315,0.7568057195574643,70,62,2.5665458878186587,216.2335112793253,0.011869325307783842,-0.3321066218186333,6.47041262304927,17.0849488871754,62,1.0616230662437196,1.47282047851961,1.3873290109744947,2.0918945346942333,0.03481596769477404,1.7128307162413954,64,0.013790482753977736,2.9872613659922775,64
9-25-2025_P2,65,64,7.359139737314744,267.6274392132611,0.027497702623274566,2.4801174416682668,10.298080436395876,0.5450519994434826,66,62,2.4619438714590802,216.09595553182407,0.011392827160508861,0.10757938199820972,8.134523834618026,18.398220986221265,62,1.0573865525195365,1.4907378930401831,1.40983246806767,2.433879857189626,0.02928035302323268,1.4230773702021018,61,0.015209345741673543,3.2994504393524804,62
9-25-2025_P8,60,60,8.603873795221537,266.42860593650073,0.03229335590665569,1.3257558660108848,22.455947319178218,0.8471707670719307,65,59,2.1874407482273823,215.7200093587726,0.010140184745631834,-0.42404782669959595,9.17173155654036,18.48551113188274,58,1.0871092429325797,1.4317088392198065,1.3169870907891803,1.750221320292414,0.03439067963734232,1.6644001393799532,61,0.012662522320537587,2.7301092774823044,61
9-25-2025_P9,60,60,9.067982467864578,264.8728222212508,0.034235231806040135,1.630097908857466,21.338646659872058,0.8126139484557978,83,52,2.8768357078189903,214.21771435998033,0.013429494924890461,0.03916306311703523,13.031974014088064,27.512121751410238,49,1.073551197886538,1.4726110684395894,1.371719459061353,1.6897714119778644,0.0310752872195055,1.482347483557809,60,,,
9-26-2025_P2,64,63,7.748593810499266,270.53098907875307,0.028642167157580636,0.6805839574947675,23.085871518310388,0.6394121360382785,71,61,2.622188236650222,215.78496339275563,0.012151858013746358,-0.29671964214410496,9.021976834488102,16.479330952448876,60,1.093587189550085,1.4555329722769552,1.330971125288857,1.134413263449026,0.03025051382141771,1.5710557926027102,63,0.0148023879551275,3.1968109640915845,56
9-29-2025_P2,65,64,6.368766142471553,266.90489177260145,0.023861556452467108,1.8857399845633975,22.584148410529767,0.7396802988370724,70,64,2.7346640533344506,216.32534077403716,0.012641441097698058,-0.25444591498955527,6.519454260183574,11.717291260901714,64,1.0438631280609394,1.4966253872321356,1.4337371892924686,2.130626445177901,0.028940128184321807,1.3864403329660435,64,0.02211203004512667,4.795828955166433,55
9-29-2025_P3,64,60,13.624674295848791,265.66823721499793,0.05128454360474685,1.8107145841363437,26.646941573594322,0.867268978576049,69,64,2.193606599554636,216.16954527188108,0.010147620918551177,0.16401764430574128,15.149885223763114,98.21738016038316,60,1.076947535446705,1.4565448404716124,1.3524752065730434,1.4222001690191148,,,,0.029852174001579263,6.444463106517434,60
9-29-2025_P4,64,63,5.527945797710875,268.55405345353336,0.02058410858679275,1.4080051017121256,14.863964958023347,0.7901355913661969,75,63,2.372774684971917,215.73167271189675,0.01099873122543618,-0.9136793730214349,6.87391346641831,12.414371142342404,62,1.0876916701976607,1.4569388014835518,1.3394777595555087,2.6514317905701854,0.020248788897467427,0.998886429398842,61,0.017783213339309132,3.839236754204907,63
9-29-2025_P6,64,64,5.5677482641030736,265.931332837264,0.020936789225624055,0.7061672437140698,15.6525296958928,0.6034933422593565,69,60,2.1082160152073497,215.8145917056374,0.009768644457937641,-0.3773503531541212,5.903532412076934,10.781372777965586,60,1.0875965818453206,1.4351680073862028,1.3195775265780618,1.2712422971091615,0.021979701069608,1.0853457970355542,63,0.009596946434785317,2.0745544113205088,62
9-29-2025_P7,63,55,6.319014111807187,264.86100847050983,0.023857849625724577,1.5298346041601152,26.453879927969258,0.7260327587351039,80,62,2.8572446223774537,215.6453343612799,0.013249740045804046,-0.1715223017292827,7.636713871428434,17.240535356259695,55,1.0929674835476857,1.4279015935486856,1.3064447159158206,1.8673700774973945,0.024865213251333416,1.2089904387300117,55,0.015488601628063915,3.341500304099391,56
9-30-2025_P2,53,52,5.970939702697474,268.6564508264854,0.022225186420533293,1.331472706362597,22.366695614222753,0.7201261415184814,67,63,6.407642993731633,215.46290023534175,0.029738961959264513,-0.23173202176570332,10.661179095697907,24.44752663134483,51,1.0811019698451432,1.4725572585018964,1.3620891456823683,1.934696689572786,,,,0.017609286520038517,3.8045985871567636,59
9-30-2025_P3,64,61,7.695040098999159,268.41097000936315,0.028668873327832793,0.783669636897628,20.005123396884958,0.6059707137741938,74,63,2.399041845931442,215.58178857096974,0.011128221274320095,0.13713446643783783,8.032672760411042,22.986841984981783,60,1.0235833953311924,1.548962311867793,1.5132741688981857,0.975580941787837,0.030691877494802924,1.4554420167671198,61,0.012674716785377228,2.7384968932563973,64
9-30-2025_P5,60,58,8.827254091152637,265.94803479294484,0.03319165000796167,1.7732974023094148,34.827552046857946,0.8883225367980202,68,64,2.3911961599179694,215.35844993606258,0.011103331030790238,-0.1699506525455912,9.455614052957426,21.03908468834325,58,1.0212965574685873,1.530795384150215,1.498874516863628,1.8447995484813713,,,,0.012432761182910161,2.682510438843864,63
9-30-2025_P7,65,63,13.073179406277552,263.79609169567277,0.04955789648832011,1.1684731269393807,26.18834699912787,0.8716763620919715,78,59,2.0700110888191583,215.77212124591006,0.009593505763703452,0.08715977033958616,9.777275464278919,19.781805237270067,59,1.090485977485404,1.4372233047622505,1.3179658743310043,0.9892739716309806,0.032281923642918625,1.498988605324384,60,0.03483268850599205,7.529054434089481,60
